001 棉悠悠 Lamball
002 捣蛋猫 Cattiva
003 皮皮鸡 Chikipi
004 翠叶鼠 Lifmunk
005 火绒狐 Foxparks
005B 雪绒狐 Foxparks-Cryst
006 冲浪鸭 Fuack
007 伏特喵 Sparkit
008 新叶猿 Tanzee
009 燎火鹿 Rooby
010 企丸丸 Pengullet
011 企丸王 Penking
012 電棘鼠 Jolthog
012B 冰刺鼠 Jolthog-Cryst
013 叶泥泥 Gumoss
014 玉藻狐 Vixy
015 啼卡尔 Hoocrates
016 壶小象 Teafant
017 瞅什魔 Depresso
018 米露菲 Cremis
019 寐魔 Daedream
020 草莽猪 Rushoar
021 露娜蒂 Nox
022 遁地鼠 Fuddler
023 勾魂鱿 Killamari
024 喵丝特 Mau
024B 冰丝特 Mau-Cryst
025 鲁米儿 Celaray
026 猎狼 Direhowl
027 炸蛋鸟 Tocotoco
028 波娜兔 Flopie
029 波霸牛 Mozzarina
030 荊棘魔仙 Bristla
031 鲨小子 Gobfin
031B 红小鲨 Gobfin-Ignis
032 吊缚灵 Hangyu
032B 冰缚灵 Hangyu-Cryst
033 叶胖达 Mossanda
033B 雷胖达 Mossanda-Lux
034 棉花糖 Woolipop
035 灌木羊 Caprity
035B 郁木羊 Caprity-Noct
036 美露帕 Melpaca
037 紫霞鹿 Eikthyrdeer
037B 祇岳鹿 Eikthyrdeer-Terra
038 疾风隼 Nitewing
039 姬小兔 Ribbuny
039B 艾小兔 Ribbuny-Botan
040 炎魔羊 Incineram
040B 暗魔羊 Incineram-Noct
041 幻悦蝶 Cinnamoth
042 炽焰牛 Arsox
043 趴趴鲶 Dumud
044 黑鸦隐士 Cawgnito
045 朋克蜥 Leezpunk
045B 热血蜥 Leezpunk-Ignis
046 月镰魔 Loupmoon
046B 霜镰魔 Loupmoon-Cryst
047 天擒鸟 Galeclaw
048 羽箭射手 Robinquill
048B 山岳射手 Robinquill-Terra
049 铁拳猿 Gorirat
049B 石掌猿 Gorirat-Terra
050 骑士蜂 Beegarde
051 女皇蜂 Elizabee
052 笑魇猫 Grintale
053 毛掸儿 Swee
054 毛老爹 Sweepa
055 疾旋鼬 Chillet
055B 桃旋鼬 Chillet-Ignis
056 雷角马 Univolt
057 吹雪狐 Foxcicle
058 火麒麟 Pyrin
058B 邪麒麟 Pyrin-Noct
059 严冬鹿 Reindrix
060 霹雳犬 Rayhound
061 苍焰狼 Kitsun
061B 幽焰狼 Kitsun-Noct
062 雷鸣童子 Dazzi
062B 天阴童子 Dazzi-Noct
063 秘斯媞雅 Lunaris
064 花冠龙 Dinossom
064B 雷冠龙 Dinossom-Lux
065 滑水蛇 Surfent
065B 流沙蛇 Surfent-Terra
066 噬魂兽 Maraith
067 碎岩龟 Digtoise
068 猫蝠怪 Tombat
069 博爱蜥 Lovander
070 融焰娘 Flambelle
071 烽歌龙 Vanwyrm
071B 霜歌龙 Vanwyrm-Cryst
072 浪刃武士 Bushi
072B 鬼刃武士 Bushi-Noct
073 迅雷鸟 Beakon
074 燧火鸟 Ragnahawk
075 暗巫猫 Katress
075B 炽巫猫 Katress-Ignis
076 焰巫狐 Wixen
076B 幽巫狐 Wixen-Noct
077 踏春兔 Verdash
078 薇莉塔 Vaelet
079 绸笠蛾 Sibelyx
080 精灵龙 Elphidran
080B 水灵龙 Elphidran-Aqua
081 水灵儿 Kelpsea
081B 火灵儿 Kelpsea-Ignis
082 碧海龙 Azurobe
083 冰棘兽 Cryolinx
083B 金棘兽 Cryolinx-Terra
084 狱焰王 Blazehowl
084B 狱阎王 Blazehowl-Noct
085 佩克龙 Relaxaurus
085B 派克龙 Relaxaurus-Lux
086 连理龙 Broncherry
086B 海誓龙 Broncherry-Aqua
087 花丽娜 Petallia
088 熔岩兽 Reptyro
088B 寒霜兽 Reptyro-Cryst
089 君王美露帕 Kingpaca
089B 冰帝美露帕 Kingpaca-Cryst
090 森猛犸 Mammorest
090B 雪猛犸 Mammorest-Cryst
091 白绒雪怪 Wumpo
091B 绿苔绒怪 Wumpo-Botan
092 铠格力斯 Warsect
